periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,activos_total,3956441.92269,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,4
2015-02,BP PACIFICO,BP PACIFICO,activos_total,4470342.77805,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,5
2015-02,BP PICHINCHA,BP PICHINCHA,activos_total,9510420.75228,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,6
2015-02,BP PRODUBANCO,BP PRODUBANCO,activos_total,3737498.35743,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,7
2015-02,BP AUSTRO,BP AUSTRO,activos_total,1533288.98331,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,9
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,activos_total,2748531.57767,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,10
2015-02,BP SOLIDARIO,BP SOLIDARIO,activos_total,731573.63584,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,11
2015-02,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,activos_total,631004.2056,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,12
2015-02,BP INTERNACIONAL,BP INTERNACIONAL,activos_total,2598928.47179,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,13
2015-02,BP MACHALA,BP MACHALA,activos_total,690154.89184,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,14
2015-02,BP CITIBANK,BP CITIBANK,activos_total,560304.405,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,15
2015-02,BP LOJA,BP LOJA,activos_total,450810.76301,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,16
2015-02,BP PROCREDIT,BP PROCREDIT,activos_total,398163.38605,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,17
2015-02,BP AMAZONAS,BP AMAZONAS,activos_total,142327.68796,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,19
2015-02,BP COFIEC,BP COFIEC,activos_total,32444.45431,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,20
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,activos_total,47349.86197,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,21
2015-02,BP LITORAL,BP LITORAL,activos_total,24247.87992,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,22
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,activos_total,176532.70761,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,23
2015-02,BP CAPITAL,BP CAPITAL,activos_total,161331.33554,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,24
2015-02,BP FINCA,BP FINCA,activos_total,50129.61464,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,25
2015-02,BP DELBANK,BP DELBANK,activos_total,27779.16252,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,26
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,activos_total,90474.21576,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,27
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,activos_total,117069.20784,miles_usd,BOL BANCOS PRIVADOS 28022015 act.xlsx,BALANCE,621,28
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,morosidad_total,2.959303956341573,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,4
2015-02,BP PACIFICO,BP PACIFICO,morosidad_total,3.5705283755132116,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,5
2015-02,BP PICHINCHA,BP PICHINCHA,morosidad_total,4.580699914807066,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,6
2015-02,BP PRODUBANCO,BP PRODUBANCO,morosidad_total,2.378227711062885,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,7
2015-02,BP AUSTRO,BP AUSTRO,morosidad_total,5.73717125060848,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,9
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,morosidad_total,1.284305189663602,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,10
2015-02,BP SOLIDARIO,BP SOLIDARIO,morosidad_total,8.165447994571176,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,25,11
