periodo,banco_normalizado,banco_original,archivo_origen,activos_total,indice_capitalizacion_neto,morosidad_total,roe,suficiencia_patrimonial,rank_activos,rank_roe,rank_morosidad,rank_capitalizacion
2015-02,BP AMAZONAS,BP AMAZONAS,BOL BANCOS PRIVADOS 28022015 act.xlsx,142327.68796,11.796558643533848,5.652358363003239,5.934339982678309,186.98831694544972,16.0,14.0,13.0,9.0
2015-02,BP AUSTRO,BP AUSTRO,BOL BANCOS PRIVADOS 28022015 act.xlsx,1533288.98331,7.808394660247286,5.73717125060848,7.297750531935768,166.8899536511469,7.0,13.0,14.0,18.0
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,BOL BANCOS PRIVADOS 28022015 act.xlsx,117069.20784,9.586393966785108,6.164210483814462,14.517626201775688,219.91700001622186,17.0,2.0,17.0,12.0
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,BOL BANCOS PRIVADOS 28022015 act.xlsx,2748531.57767,7.367602531161347,1.284305189663602,12.064456177585765,271.1047356098097,5.0,3.0,3.0,20.0
2015-02,BP CAPITAL,BP CAPITAL,BOL BANCOS PRIVADOS 28022015 act.xlsx,161331.33554,9.446749786041437,7.9544092512789,0.6507634361307117,85.92139814826506,15.0,19.0,20.0,14.0
2015-02,BP CITIBANK,BP CITIBANK,BOL BANCOS PRIVADOS 28022015 act.xlsx,560304.405,9.45834384208935,1.6756334428735952e-05,11.770894955580378,-458.2795601070656,11.0,4.0,1.0,13.0
2015-02,BP COFIEC,BP COFIEC,BOL BANCOS PRIVADOS 28022015 act.xlsx,32444.45431,11.040636565478364,87.50430107960499,-32.01914614445997,49.81124315358289,21.0,22.0,23.0,10.0
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,BOL BANCOS PRIVADOS 28022015 act.xlsx,47349.86197,13.229870590257468,6.010261684800345,0.6420429664705952,133.26032897386207,20.0,20.0,16.0,6.0
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,BOL BANCOS PRIVADOS 28022015 act.xlsx,176532.70761,12.67220942689066,0.37588483859172334,11.000513684326227,2837.3428355786714,14.0,7.0,2.0,8.0
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,BOL BANCOS PRIVADOS 28022015 act.xlsx,90474.21576,14.48461470166627,6.005200056795004,10.95120904974561,357.2857297384712,18.0,8.0,15.0,4.0
2015-02,BP DELBANK,BP DELBANK,BOL BANCOS PRIVADOS 28022015 act.xlsx,27779.16252,32.83822717826833,6.213564486785941,-0.49439806502891254,351.8588692421743,22.0,21.0,18.0,1.0
2015-02,BP FINCA,BP FINCA,BOL BANCOS PRIVADOS 28022015 act.xlsx,50129.61464,16.28729145428874,6.5613141673515525,-32.09632633233548,283.85339002218404,19.0,23.0,19.0,2.0
2015-02,BP GENERAL RUMINAHUI,BP GENERAL RUMIÑAHUI,BOL BANCOS PRIVADOS 28022015 act.xlsx,631004.2056,6.976345045982543,3.659497095112464,20.823773684781074,-774.2993415565148,10.0,1.0,10.0,22.0
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,BOL BANCOS PRIVADOS 28022015 act.xlsx,3956441.92269,8.19331437354442,2.959303956341573,11.126917727828536,172.0868572577686,3.0,6.0,7.0,17.0
2015-02,BP INTERNACIONAL,BP INTERNACIONAL,BOL BANCOS PRIVADOS 28022015 act.xlsx,2598928.47179,7.77753777464225,1.9143504058788932,11.326129627568545,525.593273411859,6.0,5.0,4.0,19.0
2015-02,BP LITORAL,BP LITORAL,BOL BANCOS PRIVADOS 28022015 act.xlsx,24247.87992,14.0624936234054,11.849112179416425,4.205340025184292,249.63709343469543,23.0,18.0,22.0,5.0
2015-02,BP LOJA,BP LOJA,BOL BANCOS PRIVADOS 28022015 act.xlsx,450810.76301,8.230679749548575,3.8832853348625926,10.387774726537454,1875.9972667364423,12.0,9.0,11.0,16.0
2015-02,BP MACHALA,BP MACHALA,BOL BANCOS PRIVADOS 28022015 act.xlsx,690154.89184,6.483733105700876,2.671882803188737,5.6590407408352315,135.24398951390256,9.0,15.0,6.0,23.0
2015-02,BP PACIFICO,BP PACIFICO,BOL BANCOS PRIVADOS 28022015 act.xlsx,4470342.77805,10.393331272910093,3.5705283755132116,9.617102117789756,351.56882116458183,2.0,11.0,8.0,11.0
2015-02,BP PICHINCHA,BP PICHINCHA,BOL BANCOS PRIVADOS 28022015 act.xlsx,9510420.75228,8.33050649713176,4.580699914807066,10.205043760448957,2123.152731449771,1.0,10.0,12.0,15.0
2015-02,BP PROCREDIT,BP PROCREDIT,BOL BANCOS PRIVADOS 28022015 act.xlsx,398163.38605,13.080809628569853,3.599823851306134,5.312995552139487,236.60037589180254,13.0,16.0,9.0,7.0
2015-02,BP PRODUBANCO,BP PRODUBANCO,BOL BANCOS PRIVADOS 28022015 act.xlsx,3737498.35743,7.048980198757546,2.378227711062885,7.753672087254201,241.16317524283036,4.0,12.0,5.0,21.0
2015-02,BP SOLIDARIO,BP SOLIDARIO,BOL BANCOS PRIVADOS 28022015 act.xlsx,731573.63584,14.661038538563487,8.165447994571176,4.699042261451991,329.56025830149406,8.0,17.0,21.0,3.0
2026-03,BANCO ATLANTIDA S.A.,BANCO ATLÁNTIDA S.A.,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,149500.0102,0.0672920684,0.0262802125,0.0149914853,0.9249055438,20.0,19.0,9.0,22.0
2026-03,BP AMAZONAS,BP AMAZONAS,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,458548.13131,0.0792448937,0.0311372507,0.0022209291,0.9563524101,15.0,21.0,13.0,16.0
2026-03,BP AUSTRO,BP AUSTRO,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,3528072.99421,0.0682779253,0.0338548016,0.100717228,0.8285825793,7.0,11.0,16.0,21.0
2026-03,BP BANCO COMERCIAL DE MANABI,BP BANCO COMERCIAL DE MANABI,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,151109.39247,0.1101909964,0.0256230127,0.0098343189,0.8542176287,19.0,20.0,8.0,8.0
2026-03,"BP BANCO DESARROLLO DE LOS PUEBLOS S.A., CODESARROLLO","BP BANCO  DESARROLLO DE LOS PUEBLOS  S.A., CODESARROLLO",FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,331742.01781,0.1009175742,0.0941288015,0.0437079329,2.5562510046,16.0,15.0,23.0,11.0
2026-03,BP BOLIVARIANO,BP BOLIVARIANO,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,6282749.33816,0.0894689227,0.0162409447,0.1099963852,3.8831228489,5.0,10.0,3.0,14.0
2026-03,BP CAPITAL,BP CAPITAL,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,82749.33489,0.1024058484,0.0315248727,-0.0409405378,0.773879789,21.0,23.0,14.0,9.0
2026-03,BP CITIBANK,BP CITIBANK,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,885899.427,0.1194747669,2.9e-09,0.1864670737,-48.5968917096,12.0,3.0,1.0,7.0
2026-03,BP COOPNACIONAL,BP COOPNACIONAL,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,249594.97164,0.1303300011,0.0005145033,0.030600516,35.749762991,17.0,17.0,2.0,6.0
2026-03,BP DELBANK,BP DELBANK,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,37899.17176,0.2852181642,0.0285483211,0.0013549747,7.3085721352,23.0,22.0,10.0,1.0
2026-03,BP DINERS,BP DINERS,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,3323483.85582,0.1607913732,0.0551787172,0.0857785554,2.9519158689,8.0,13.0,21.0,4.0
2026-03,BP GENERAL RUMINAHUI,BP GENERAL RUMIÑAHUI,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,1436507.25984,0.0927291338,0.0330394811,0.1427978091,-22.818807865,9.0,5.0,15.0,12.0
2026-03,BP GUAYAQUIL,BP GUAYAQUIL,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,10455869.40551,0.0776721554,0.0230122718,0.1759955267,2.431011783,2.0,4.0,5.0,18.0
2026-03,BP INTERNACIONAL,BP INTERNACIONAL,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,6208414.95569,0.0819124586,0.0165809983,0.1134241976,6.0689816746,6.0,9.0,4.0,15.0
2026-03,BP LITORAL,BP LITORAL,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,43409.3615,0.2359608485,0.0922289439,0.0254556091,3.8426210133,22.0,18.0,22.0,2.0
2026-03,BP LOJA,BP LOJA,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,1036126.45708,0.0791534625,0.035274026,0.1386293495,-5.410407051,11.0,7.0,17.0,17.0
2026-03,BP MACHALA,BP MACHALA,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,1276501.55852,0.0659871304,0.0251186413,0.0821403752,2.1565458672,10.0,14.0,7.0,23.0
2026-03,BP PACIFICO,BP PACIFICO,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,10241398.01567,0.102172273,0.0245201236,0.215123657,4.0889271658,3.0,2.0,6.0,10.0
2026-03,BP PICHINCHA,BP PICHINCHA,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,22343920.0077,0.092459996,0.0421061929,0.1147161351,34.8813926254,1.0,8.0,18.0,13.0
2026-03,BP PROCREDIT,BP PROCREDIT,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,688408.4852,0.0729064082,0.0300129363,0.038568723,2.7893133244,14.0,16.0,12.0,19.0
2026-03,BP PRODUBANCO,BP PRODUBANCO,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,9198745.81122,0.0727294567,0.0288708812,0.1425423399,3.4818372662,4.0,6.0,11.0,20.0
2026-03,BP SOLIDARIO,BP SOLIDARIO,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,783500.87692,0.1798902192,0.0503878261,0.0971112052,7.1240819608,13.0,12.0,20.0,3.0
